campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:17.232684+00:00,24372,24004,1001,1,23,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:18.240721+00:00,25373,25004,1001,1,24,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:19.232638+00:00,26373,26004,1000,1,25,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:20.240705+00:00,27374,27004,1001,1,26,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:21.232602+00:00,28375,28004,1001,1,27,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:22.240552+00:00,29375,29004,1000,1,28,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:23.232603+00:00,30376,30004,1001,1,29,0,1,7,-45,10.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:24.240495+00:00,31377,31004,1001,1,30,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:25.232560+00:00,32378,32004,1001,1,31,0,1,7,-45,10.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:26.224570+00:00,33379,33004,1001,1,32,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:27.232520+00:00,34380,34004,1001,1,33,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:28.224494+00:00,35381,35004,1001,1,34,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:29.232526+00:00,36382,36004,1001,1,35,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:30.224454+00:00,37383,37004,1001,1,36,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:31.232381+00:00,38384,38004,1001,1,37,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:32.224421+00:00,39384,39004,1000,1,38,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:33.232388+00:00,40385,40004,1001,1,39,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:34.224375+00:00,41385,41004,1000,1,40,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:35.216405+00:00,42386,42004,1001,1,41,0,1,7,-46,8.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:36.224410+00:00,43386,43004,1000,1,42,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:37.216323+00:00,44387,44004,1001,1,43,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:38.224323+00:00,45387,45004,1000,1,44,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:39.216296+00:00,46388,46004,1001,1,45,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:40.224249+00:00,47388,47004,1000,1,46,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:41.216256+00:00,48389,48004,1001,1,47,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:42.224223+00:00,49390,49004,1001,1,48,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:43.216254+00:00,50390,50004,1000,1,49,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:44.208403+00:00,51391,51004,1001,1,50,0,1,7,-46,9.0,5147,14,3.0,7,lora,1,1,0
C1,C1_pwr14_2026-05-03T12:00:00Z,2026-05-04T21:12:45.216249+00:00,52391,52004,1000,1,51,0,1,7,-45,9.25,5147,14,3.0,7,lora,1,1,0
